Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
05.01.2015 07:00 - 05.01.2015 07:15,61336,66067
05.01.2015 07:15 - 05.01.2015 07:30,62577,67622
05.01.2015 07:30 - 05.01.2015 07:45,63288,68834
05.01.2015 07:45 - 05.01.2015 08:00,63981,70128
05.01.2015 08:00 - 05.01.2015 08:15,65060,71087
05.01.2015 08:15 - 05.01.2015 08:30,65250,71629
05.01.2015 08:30 - 05.01.2015 08:45,65467,72326
05.01.2015 08:45 - 05.01.2015 09:00,65875,72533
05.01.2015 09:00 - 05.01.2015 09:15,66134,73034
05.01.2015 09:15 - 05.01.2015 09:30,66527,73317
05.01.2015 09:30 - 05.01.2015 09:45,67038,73692
05.01.2015 09:45 - 05.01.2015 10:00,66831,74033
05.01.2015 10:00 - 05.01.2015 10:15,67670,74585
05.01.2015 10:15 - 05.01.2015 10:30,67874,74986
05.01.2015 10:30 - 05.01.2015 10:45,68558,75271
05.01.2015 10:45 - 05.01.2015 11:00,68323,75405
05.01.2015 11:00 - 05.01.2015 11:15,68745,75586
05.01.2015 11:15 - 05.01.2015 11:30,69367,75986
05.01.2015 11:30 - 05.01.2015 11:45,69657,76306
05.01.2015 11:45 - 05.01.2015 12:00,69639,76145
05.01.2015 12:00 - 05.01.2015 12:15,69364,75906
05.01.2015 12:15 - 05.01.2015 12:30,69980,75935
05.01.2015 12:30 - 05.01.2015 12:45,69282,76076
05.01.2015 12:45 - 05.01.2015 13:00,69886,75879
05.01.2015 13:00 - 05.01.2015 13:15,69098,75955
05.01.2015 13:15 - 05.01.2015 13:30,67196,75471
05.01.2015 13:30 - 05.01.2015 13:45,68879,75078
05.01.2015 13:45 - 05.01.2015 14:00,68091,74411
05.01.2015 14:00 - 05.01.2015 14:15,66061,74251
05.01.2015 14:15 - 05.01.2015 14:30,65781,74147
05.01.2015 14:30 - 05.01.2015 14:45,66035,73671
05.01.2015 14:45 - 05.01.2015 15:00,67835,73374
05.01.2015 15:00 - 05.01.2015 15:15,67861,73816
05.01.2015 15:15 - 05.01.2015 15:30,67760,73513
05.01.2015 15:30 - 05.01.2015 15:45,67234,73030
05.01.2015 15:45 - 05.01.2015 16:00,66740,72812
05.01.2015 16:00 - 05.01.2015 16:15,67366,73566
05.01.2015 16:15 - 05.01.2015 16:30,67011,74161
05.01.2015 16:30 - 05.01.2015 16:45,67413,74459
05.01.2015 16:45 - 05.01.2015 17:00,68147,75362
05.01.2015 17:00 - 05.01.2015 17:15,68617,77541
05.01.2015 17:15 - 05.01.2015 17:30,69165,78660
05.01.2015 17:30 - 05.01.2015 17:45,69680,79008
05.01.2015 17:45 - 05.01.2015 18:00,70082,79285
05.01.2015 18:00 - 05.01.2015 18:15,70026,78912
05.01.2015 18:15 - 05.01.2015 18:30,69973,78426
05.01.2015 18:30 - 05.01.2015 18:45,70495,78053
