"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"05.08.2019 06:30 - 05.08.2019 06:45","52322","51181"
"05.08.2019 06:45 - 05.08.2019 07:00","53807","52458"
"05.08.2019 07:00 - 05.08.2019 07:15","55647","54051"
"05.08.2019 07:15 - 05.08.2019 07:30","56928","55051"
"05.08.2019 07:30 - 05.08.2019 07:45","57897","56373"
"05.08.2019 07:45 - 05.08.2019 08:00","58863","57698"
"05.08.2019 08:00 - 05.08.2019 08:15","59885","59069"
"05.08.2019 08:15 - 05.08.2019 08:30","60720","59549"
"05.08.2019 08:30 - 05.08.2019 08:45","61238","60187"
"05.08.2019 08:45 - 05.08.2019 09:00","61752","60823"
"05.08.2019 09:00 - 05.08.2019 09:15","61644","60969"
"05.08.2019 09:15 - 05.08.2019 09:30","62051","61428"
"05.08.2019 09:30 - 05.08.2019 09:45","62941","61843"
"05.08.2019 09:45 - 05.08.2019 10:00","63378","62301"
"05.08.2019 10:00 - 05.08.2019 10:15","63802","62705"
"05.08.2019 10:15 - 05.08.2019 10:30","64217","62980"
"05.08.2019 10:30 - 05.08.2019 10:45","64473","63637"
"05.08.2019 10:45 - 05.08.2019 11:00","64895","63766"
"05.08.2019 11:00 - 05.08.2019 11:15","65499","64316"
"05.08.2019 11:15 - 05.08.2019 11:30","65767","64792"
"05.08.2019 11:30 - 05.08.2019 11:45","66063","65178"
"05.08.2019 11:45 - 05.08.2019 12:00","66343","65365"
"05.08.2019 12:00 - 05.08.2019 12:15","66044","64837"
"05.08.2019 12:15 - 05.08.2019 12:30","65913","64281"
"05.08.2019 12:30 - 05.08.2019 12:45","65712","63696"
"05.08.2019 12:45 - 05.08.2019 13:00","65776","63446"
"05.08.2019 13:00 - 05.08.2019 13:15","65462","63685"
"05.08.2019 13:15 - 05.08.2019 13:30","65202","63730"
"05.08.2019 13:30 - 05.08.2019 13:45","64883","63450"
"05.08.2019 13:45 - 05.08.2019 14:00","64425","63142"
"05.08.2019 14:00 - 05.08.2019 14:15","64230","62808"
"05.08.2019 14:15 - 05.08.2019 14:30","64148","63009"
"05.08.2019 14:30 - 05.08.2019 14:45","64011","62954"
"05.08.2019 14:45 - 05.08.2019 15:00","63810","62653"
"05.08.2019 15:00 - 05.08.2019 15:15","63595","62633"
"05.08.2019 15:15 - 05.08.2019 15:30","63332","62030"
"05.08.2019 15:30 - 05.08.2019 15:45","62840","61825"
"05.08.2019 15:45 - 05.08.2019 16:00","62295","61424"
"05.08.2019 16:00 - 05.08.2019 16:15","62156","61047"
"05.08.2019 16:15 - 05.08.2019 16:30","61975","60838"
"05.08.2019 16:30 - 05.08.2019 16:45","61836","60262"
"05.08.2019 16:45 - 05.08.2019 17:00","61579","60259"
"05.08.2019 17:00 - 05.08.2019 17:15","61605","60349"
"05.08.2019 17:15 - 05.08.2019 17:30","61524","60352"
"05.08.2019 17:30 - 05.08.2019 17:45","61555","60416"
"05.08.2019 17:45 - 05.08.2019 18:00","61413","60255"
"05.08.2019 18:00 - 05.08.2019 18:15","60994","60049"
"05.08.2019 18:15 - 05.08.2019 18:30","60780","59766"
"05.08.2019 18:30 - 05.08.2019 18:45","60698","59804"
"05.08.2019 18:45 - 05.08.2019 19:00","60444","59524"
"05.08.2019 19:00 - 05.08.2019 19:15","60044","59298"
"05.08.2019 19:15 - 05.08.2019 19:30","59396","58847"
"05.08.2019 19:30 - 05.08.2019 19:45","59018","58775"
"05.08.2019 19:45 - 05.08.2019 20:00","58632","58428"
"05.08.2019 20:00 - 05.08.2019 20:15","57737","57386"
"05.08.2019 20:15 - 05.08.2019 20:30","56644","56553"
"05.08.2019 20:30 - 05.08.2019 20:45","56219","56166"
"05.08.2019 20:45 - 05.08.2019 21:00","55696","55926"
"05.08.2019 21:00 - 05.08.2019 21:15","55353","55389"
"05.08.2019 21:15 - 05.08.2019 21:30","55068","55198"
"05.08.2019 21:30 - 05.08.2019 21:45","54557","54843"
"05.08.2019 21:45 - 05.08.2019 22:00","53979","54024"
"05.08.2019 22:00 - 05.08.2019 22:15","53696","52934"
"05.08.2019 22:15 - 05.08.2019 22:30","52863","51978"
"05.08.2019 22:30 - 05.08.2019 22:45","51653","50703"
"05.08.2019 22:45 - 05.08.2019 23:00","50613","49856"
"05.08.2019 23:00 - 05.08.2019 23:15","49508","48715"
"05.08.2019 23:15 - 05.08.2019 23:30","48726","47931"
"05.08.2019 23:30 - 05.08.2019 23:45","47864","47273"
"05.08.2019 23:45 - 06.08.2019 00:00","47203","46637"
"06.08.2019 00:00 - 06.08.2019 00:15","45604","46192"
"06.08.2019 00:15 - 06.08.2019 00:30","45013","45718"
"06.08.2019 00:30 - 06.08.2019 00:45","44549","45408"
"06.08.2019 00:45 - 06.08.2019 01:00","44236","45013"
"06.08.2019 01:00 - 06.08.2019 01:15","44187","43991"
"06.08.2019 01:15 - 06.08.2019 01:30","43555","43764"
"06.08.2019 01:30 - 06.08.2019 01:45","42937","43605"
"06.08.2019 01:45 - 06.08.2019 02:00","43174","43262"
"06.08.2019 02:00 - 06.08.2019 02:15","42198","42699"
"06.08.2019 02:15 - 06.08.2019 02:30","42130","42907"
"06.08.2019 02:30 - 06.08.2019 02:45","42040","42699"
"06.08.2019 02:45 - 06.08.2019 03:00","42083","42735"
"06.08.2019 03:00 - 06.08.2019 03:15","42022","42700"
"06.08.2019 03:15 - 06.08.2019 03:30","42154","42702"
"06.08.2019 03:30 - 06.08.2019 03:45","42182","42453"
"06.08.2019 03:45 - 06.08.2019 04:00","42263","42560"
"06.08.2019 04:00 - 06.08.2019 04:15","42540","43259"
"06.08.2019 04:15 - 06.08.2019 04:30","42900","43595"
"06.08.2019 04:30 - 06.08.2019 04:45","43252","43874"
"06.08.2019 04:45 - 06.08.2019 05:00","43767","44243"
"06.08.2019 05:00 - 06.08.2019 05:15","45027","45445"
"06.08.2019 05:15 - 06.08.2019 05:30","45578","46241"
"06.08.2019 05:30 - 06.08.2019 05:45","46545","46829"
"06.08.2019 05:45 - 06.08.2019 06:00","47671","47888"
"06.08.2019 06:00 - 06.08.2019 06:15","50231","50807"
"06.08.2019 06:15 - 06.08.2019 06:30","52025","52491"
"06.08.2019 06:30 - 06.08.2019 06:45","53487","53758"
"06.08.2019 06:45 - 06.08.2019 07:00","54966","54941"
"06.08.2019 07:00 - 06.08.2019 07:15","56519","56797"
"06.08.2019 07:15 - 06.08.2019 07:30","57601","58072"
"06.08.2019 07:30 - 06.08.2019 07:45","58946","59104"
"06.08.2019 07:45 - 06.08.2019 08:00","59791","60364"
"06.08.2019 08:00 - 06.08.2019 08:15","60649","61243"
"06.08.2019 08:15 - 06.08.2019 08:30","61278","61799"
"06.08.2019 08:30 - 06.08.2019 08:45","61779","62261"
"06.08.2019 08:45 - 06.08.2019 09:00","62355","63076"
"06.08.2019 09:00 - 06.08.2019 09:15","62261","63100"
"06.08.2019 09:15 - 06.08.2019 09:30","62674","63675"
"06.08.2019 09:30 - 06.08.2019 09:45","63591","64135"
"06.08.2019 09:45 - 06.08.2019 10:00","64038","64711"
"06.08.2019 10:00 - 06.08.2019 10:15","64423","64878"
"06.08.2019 10:15 - 06.08.2019 10:30","64805","65462"
"06.08.2019 10:30 - 06.08.2019 10:45","65114","66118"
"06.08.2019 10:45 - 06.08.2019 11:00","65544","66439"
"06.08.2019 11:00 - 06.08.2019 11:15","66073","66812"
"06.08.2019 11:15 - 06.08.2019 11:30","66377","67167"
"06.08.2019 11:30 - 06.08.2019 11:45","66668","67656"
"06.08.2019 11:45 - 06.08.2019 12:00","66881","67686"
"06.08.2019 12:00 - 06.08.2019 12:15","66471","66594"
"06.08.2019 12:15 - 06.08.2019 12:30","66475","66426"
"06.08.2019 12:30 - 06.08.2019 12:45","66234","66329"
"06.08.2019 12:45 - 06.08.2019 13:00","66396","66407"
"06.08.2019 13:00 - 06.08.2019 13:15","66074","66047"
"06.08.2019 13:15 - 06.08.2019 13:30","65909","65854"
"06.08.2019 13:30 - 06.08.2019 13:45","65724","65314"
"06.08.2019 13:45 - 06.08.2019 14:00","65212","64939"
"06.08.2019 14:00 - 06.08.2019 14:15","65018","64937"
"06.08.2019 14:15 - 06.08.2019 14:30","64849","64859"
"06.08.2019 14:30 - 06.08.2019 14:45","64697","64608"
"06.08.2019 14:45 - 06.08.2019 15:00","64520","64301"
"06.08.2019 15:00 - 06.08.2019 15:15","64206","63858"
"06.08.2019 15:15 - 06.08.2019 15:30","63916","63455"
"06.08.2019 15:30 - 06.08.2019 15:45","63382","62964"
"06.08.2019 15:45 - 06.08.2019 16:00","62839","62191"
"06.08.2019 16:00 - 06.08.2019 16:15","62683","61928"
"06.08.2019 16:15 - 06.08.2019 16:30","62405","61560"
"06.08.2019 16:30 - 06.08.2019 16:45","62157","61514"
"06.08.2019 16:45 - 06.08.2019 17:00","61835","61596"
"06.08.2019 17:00 - 06.08.2019 17:15","61917","61942"
"06.08.2019 17:15 - 06.08.2019 17:30","61785","62015"
"06.08.2019 17:30 - 06.08.2019 17:45","61770","61907"
"06.08.2019 17:45 - 06.08.2019 18:00","61580","61902"
"06.08.2019 18:00 - 06.08.2019 18:15","61109","61635"
"06.08.2019 18:15 - 06.08.2019 18:30","60678","61168"
"06.08.2019 18:30 - 06.08.2019 18:45","60499","60913"
"06.08.2019 18:45 - 06.08.2019 19:00","60169","60610"
"06.08.2019 19:00 - 06.08.2019 19:15","59810","60171"
"06.08.2019 19:15 - 06.08.2019 19:30","59134","59252"
"06.08.2019 19:30 - 06.08.2019 19:45","58758","58710"
"06.08.2019 19:45 - 06.08.2019 20:00","58432","58307"
"06.08.2019 20:00 - 06.08.2019 20:15","57380","57462"
"06.08.2019 20:15 - 06.08.2019 20:30","56572","56720"
"06.08.2019 20:30 - 06.08.2019 20:45","55864","56409"
"06.08.2019 20:45 - 06.08.2019 21:00","55474","56263"
"06.08.2019 21:00 - 06.08.2019 21:15","55289","55974"
"06.08.2019 21:15 - 06.08.2019 21:30","55056","55955"
"06.08.2019 21:30 - 06.08.2019 21:45","54513","55554"
"06.08.2019 21:45 - 06.08.2019 22:00","54013","54655"
"06.08.2019 22:00 - 06.08.2019 22:15","53647","53299"
"06.08.2019 22:15 - 06.08.2019 22:30","52704","52213"
"06.08.2019 22:30 - 06.08.2019 22:45","51486","51320"
"06.08.2019 22:45 - 06.08.2019 23:00","50478","50484"
"06.08.2019 23:00 - 06.08.2019 23:15","49501","48936"
"06.08.2019 23:15 - 06.08.2019 23:30","48567","47972"
"06.08.2019 23:30 - 06.08.2019 23:45","47761","47635"
"06.08.2019 23:45 - 07.08.2019 00:00","47225","47250"
"07.08.2019 00:00 - 07.08.2019 00:15","45159","45900"
"07.08.2019 00:15 - 07.08.2019 00:30","44677","45282"
"07.08.2019 00:30 - 07.08.2019 00:45","44193","44871"
"07.08.2019 00:45 - 07.08.2019 01:00","43873","44671"
"07.08.2019 01:00 - 07.08.2019 01:15","43815","43940"
"07.08.2019 01:15 - 07.08.2019 01:30","43149","43509"
"07.08.2019 01:30 - 07.08.2019 01:45","42637","43185"
"07.08.2019 01:45 - 07.08.2019 02:00","42810","43002"
"07.08.2019 02:00 - 07.08.2019 02:15","41864","42739"
"07.08.2019 02:15 - 07.08.2019 02:30","41834","42575"
"07.08.2019 02:30 - 07.08.2019 02:45","41730","42985"
"07.08.2019 02:45 - 07.08.2019 03:00","41801","43133"
"07.08.2019 03:00 - 07.08.2019 03:15","41825","43079"
"07.08.2019 03:15 - 07.08.2019 03:30","41925","42919"
"07.08.2019 03:30 - 07.08.2019 03:45","42011","43325"
"07.08.2019 03:45 - 07.08.2019 04:00","42058","43611"
"07.08.2019 04:00 - 07.08.2019 04:15","42392","44048"
"07.08.2019 04:15 - 07.08.2019 04:30","42786","44123"
"07.08.2019 04:30 - 07.08.2019 04:45","43210","44542"
"07.08.2019 04:45 - 07.08.2019 05:00","43647","45396"
"07.08.2019 05:00 - 07.08.2019 05:15","45008","46551"
"07.08.2019 05:15 - 07.08.2019 05:30","45470","47005"
"07.08.2019 05:30 - 07.08.2019 05:45","46529","47441"
"07.08.2019 05:45 - 07.08.2019 06:00","47689","48582"
"07.08.2019 06:00 - 07.08.2019 06:15","50237","51451"
"07.08.2019 06:15 - 07.08.2019 06:30","52152","53141"
"07.08.2019 06:30 - 07.08.2019 06:45","53548","54292"
"07.08.2019 06:45 - 07.08.2019 07:00","54825","55613"
"07.08.2019 07:00 - 07.08.2019 07:15","56518","57404"
"07.08.2019 07:15 - 07.08.2019 07:30","57610","58709"
"07.08.2019 07:30 - 07.08.2019 07:45","58519","59584"
"07.08.2019 07:45 - 07.08.2019 08:00","59261","60197"
"07.08.2019 08:00 - 07.08.2019 08:15","60098","61393"
"07.08.2019 08:15 - 07.08.2019 08:30","60698","62005"
"07.08.2019 08:30 - 07.08.2019 08:45","61170","62390"
"07.08.2019 08:45 - 07.08.2019 09:00","61701","62863"
"07.08.2019 09:00 - 07.08.2019 09:15","61496","63051"
"07.08.2019 09:15 - 07.08.2019 09:30","62040","63476"
"07.08.2019 09:30 - 07.08.2019 09:45","62984","64042"
"07.08.2019 09:45 - 07.08.2019 10:00","63459","64567"
"07.08.2019 10:00 - 07.08.2019 10:15","63827","64787"
"07.08.2019 10:15 - 07.08.2019 10:30","64151","65397"
"07.08.2019 10:30 - 07.08.2019 10:45","64568","66000"
"07.08.2019 10:45 - 07.08.2019 11:00","64957","66714"
"07.08.2019 11:00 - 07.08.2019 11:15","65398","66839"
"07.08.2019 11:15 - 07.08.2019 11:30","65772","67195"
"07.08.2019 11:30 - 07.08.2019 11:45","66171","67386"
"07.08.2019 11:45 - 07.08.2019 12:00","66372","67258"
"07.08.2019 12:00 - 07.08.2019 12:15","66062","66810"
"07.08.2019 12:15 - 07.08.2019 12:30","65971","66647"
"07.08.2019 12:30 - 07.08.2019 12:45","65760","66326"
"07.08.2019 12:45 - 07.08.2019 13:00","65702","66319"
"07.08.2019 13:00 - 07.08.2019 13:15","65552","66379"
"07.08.2019 13:15 - 07.08.2019 13:30","65400","66225"
"07.08.2019 13:30 - 07.08.2019 13:45","65164","65834"
"07.08.2019 13:45 - 07.08.2019 14:00","64716","65416"
"07.08.2019 14:00 - 07.08.2019 14:15","64645","65119"
"07.08.2019 14:15 - 07.08.2019 14:30","64601","64898"
"07.08.2019 14:30 - 07.08.2019 14:45","64426","64293"
"07.08.2019 14:45 - 07.08.2019 15:00","64257","63948"
"07.08.2019 15:00 - 07.08.2019 15:15","64109","63751"
"07.08.2019 15:15 - 07.08.2019 15:30","63693","63266"
"07.08.2019 15:30 - 07.08.2019 15:45","63140","62966"
"07.08.2019 15:45 - 07.08.2019 16:00","62523","62505"
"07.08.2019 16:00 - 07.08.2019 16:15","62420","62145"
"07.08.2019 16:15 - 07.08.2019 16:30","62037","61929"
"07.08.2019 16:30 - 07.08.2019 16:45","61751","61778"
"07.08.2019 16:45 - 07.08.2019 17:00","61458","61827"
"07.08.2019 17:00 - 07.08.2019 17:15","61313","62112"
"07.08.2019 17:15 - 07.08.2019 17:30","61124","61954"
"07.08.2019 17:30 - 07.08.2019 17:45","61013","61741"
"07.08.2019 17:45 - 07.08.2019 18:00","60724","61533"
"07.08.2019 18:00 - 07.08.2019 18:15","60346","61420"
"07.08.2019 18:15 - 07.08.2019 18:30","60027","61043"
"07.08.2019 18:30 - 07.08.2019 18:45","59940","61120"
"07.08.2019 18:45 - 07.08.2019 19:00","59679","61038"
"07.08.2019 19:00 - 07.08.2019 19:15","59470","60756"
"07.08.2019 19:15 - 07.08.2019 19:30","58841","60134"
"07.08.2019 19:30 - 07.08.2019 19:45","58485","59690"
"07.08.2019 19:45 - 07.08.2019 20:00","58246","59209"
"07.08.2019 20:00 - 07.08.2019 20:15","57336","57996"
"07.08.2019 20:15 - 07.08.2019 20:30","56463","58151"
"07.08.2019 20:30 - 07.08.2019 20:45","55841","57484"
"07.08.2019 20:45 - 07.08.2019 21:00","55292","57270"
"07.08.2019 21:00 - 07.08.2019 21:15","54946","56865"
"07.08.2019 21:15 - 07.08.2019 21:30","54665","56834"
"07.08.2019 21:30 - 07.08.2019 21:45","54131","56066"
"07.08.2019 21:45 - 07.08.2019 22:00","53593","55264"
"07.08.2019 22:00 - 07.08.2019 22:15","53127","54090"
"07.08.2019 22:15 - 07.08.2019 22:30","52185","53037"
"07.08.2019 22:30 - 07.08.2019 22:45","51055","52049"
"07.08.2019 22:45 - 07.08.2019 23:00","49983","51265"
"07.08.2019 23:00 - 07.08.2019 23:15","48886","49825"
"07.08.2019 23:15 - 07.08.2019 23:30","47990","49090"
"07.08.2019 23:30 - 07.08.2019 23:45","47222","48765"
"07.08.2019 23:45 - 08.08.2019 00:00","46564","47905"
"08.08.2019 00:00 - 08.08.2019 00:15","45117","46846"
"08.08.2019 00:15 - 08.08.2019 00:30","44560","46227"
"08.08.2019 00:30 - 08.08.2019 00:45","44118","45533"
"08.08.2019 00:45 - 08.08.2019 01:00","43774","45180"
"08.08.2019 01:00 - 08.08.2019 01:15","43807","44606"
"08.08.2019 01:15 - 08.08.2019 01:30","43162","44373"
"08.08.2019 01:30 - 08.08.2019 01:45","42539","43999"
"08.08.2019 01:45 - 08.08.2019 02:00","42805","43890"
"08.08.2019 02:00 - 08.08.2019 02:15","41774","43512"
"08.08.2019 02:15 - 08.08.2019 02:30","41672","43448"
"08.08.2019 02:30 - 08.08.2019 02:45","41605","43422"
"08.08.2019 02:45 - 08.08.2019 03:00","41677","43758"
"08.08.2019 03:00 - 08.08.2019 03:15","41691","43587"
"08.08.2019 03:15 - 08.08.2019 03:30","41813","43457"
"08.08.2019 03:30 - 08.08.2019 03:45","41840","43901"
"08.08.2019 03:45 - 08.08.2019 04:00","41891","44047"
"08.08.2019 04:00 - 08.08.2019 04:15","42201","44260"
"08.08.2019 04:15 - 08.08.2019 04:30","42478","44476"
"08.08.2019 04:30 - 08.08.2019 04:45","42850","44863"
"08.08.2019 04:45 - 08.08.2019 05:00","43381","45479"
"08.08.2019 05:00 - 08.08.2019 05:15","44626","47016"
"08.08.2019 05:15 - 08.08.2019 05:30","45264","47732"
"08.08.2019 05:30 - 08.08.2019 05:45","46233","48244"
"08.08.2019 05:45 - 08.08.2019 06:00","47347","49172"
"08.08.2019 06:00 - 08.08.2019 06:15","49846","51801"
"08.08.2019 06:15 - 08.08.2019 06:30","51583","53062"
"08.08.2019 06:30 - 08.08.2019 06:45","53029","54305"
"08.08.2019 06:45 - 08.08.2019 07:00","54257","55562"
"08.08.2019 07:00 - 08.08.2019 07:15","56034","57446"
"08.08.2019 07:15 - 08.08.2019 07:30","57234","58568"
"08.08.2019 07:30 - 08.08.2019 07:45","58267","59502"
"08.08.2019 07:45 - 08.08.2019 08:00","59114","60567"
"08.08.2019 08:00 - 08.08.2019 08:15","60028","61463"
"08.08.2019 08:15 - 08.08.2019 08:30","60692","62396"
"08.08.2019 08:30 - 08.08.2019 08:45","61135","62959"
"08.08.2019 08:45 - 08.08.2019 09:00","61622","63487"
"08.08.2019 09:00 - 08.08.2019 09:15","61595","63183"
"08.08.2019 09:15 - 08.08.2019 09:30","61979","63764"
"08.08.2019 09:30 - 08.08.2019 09:45","62828","64713"
"08.08.2019 09:45 - 08.08.2019 10:00","63302","65180"
"08.08.2019 10:00 - 08.08.2019 10:15","63628","65267"
"08.08.2019 10:15 - 08.08.2019 10:30","64095","65445"
"08.08.2019 10:30 - 08.08.2019 10:45","64539","66187"
"08.08.2019 10:45 - 08.08.2019 11:00","65078","66662"
"08.08.2019 11:00 - 08.08.2019 11:15","65543","66951"
"08.08.2019 11:15 - 08.08.2019 11:30","66052","67249"
"08.08.2019 11:30 - 08.08.2019 11:45","66180","68146"
"08.08.2019 11:45 - 08.08.2019 12:00","66504","68472"
"08.08.2019 12:00 - 08.08.2019 12:15","66097","67900"
"08.08.2019 12:15 - 08.08.2019 12:30","66027","67602"
"08.08.2019 12:30 - 08.08.2019 12:45","66006","67556"
"08.08.2019 12:45 - 08.08.2019 13:00","66064","67595"
"08.08.2019 13:00 - 08.08.2019 13:15","65799","67395"
"08.08.2019 13:15 - 08.08.2019 13:30","65579","66602"
"08.08.2019 13:30 - 08.08.2019 13:45","65424","66693"
"08.08.2019 13:45 - 08.08.2019 14:00","64219","66279"
"08.08.2019 14:00 - 08.08.2019 14:15","63712","65747"
"08.08.2019 14:15 - 08.08.2019 14:30","63697","65493"
"08.08.2019 14:30 - 08.08.2019 14:45","63657","65381"
"08.08.2019 14:45 - 08.08.2019 15:00","63654","65286"
"08.08.2019 15:00 - 08.08.2019 15:15","63655","65377"
"08.08.2019 15:15 - 08.08.2019 15:30","63183","65273"
"08.08.2019 15:30 - 08.08.2019 15:45","62663","64807"
"08.08.2019 15:45 - 08.08.2019 16:00","62155","64225"
"08.08.2019 16:00 - 08.08.2019 16:15","61981","63960"
"08.08.2019 16:15 - 08.08.2019 16:30","61600","63511"
"08.08.2019 16:30 - 08.08.2019 16:45","61337","63247"
"08.08.2019 16:45 - 08.08.2019 17:00","61114","62907"
"08.08.2019 17:00 - 08.08.2019 17:15","61158","62823"
"08.08.2019 17:15 - 08.08.2019 17:30","60844","62778"
"08.08.2019 17:30 - 08.08.2019 17:45","60723","62431"
"08.08.2019 17:45 - 08.08.2019 18:00","60531","62180"
"08.08.2019 18:00 - 08.08.2019 18:15","60091","62214"
"08.08.2019 18:15 - 08.08.2019 18:30","59742","61908"
"08.08.2019 18:30 - 08.08.2019 18:45","59622","61506"
"08.08.2019 18:45 - 08.08.2019 19:00","59262","61763"
"08.08.2019 19:00 - 08.08.2019 19:15","59065","61760"
"08.08.2019 19:15 - 08.08.2019 19:30","58495","60908"
"08.08.2019 19:30 - 08.08.2019 19:45","57990","60180"
"08.08.2019 19:45 - 08.08.2019 20:00","57756","59500"
"08.08.2019 20:00 - 08.08.2019 20:15","56839","58630"
"08.08.2019 20:15 - 08.08.2019 20:30","55951","58024"
"08.08.2019 20:30 - 08.08.2019 20:45","55344","57407"
"08.08.2019 20:45 - 08.08.2019 21:00","54973","56893"
"08.08.2019 21:00 - 08.08.2019 21:15","54730","56850"
"08.08.2019 21:15 - 08.08.2019 21:30","54396","57165"
"08.08.2019 21:30 - 08.08.2019 21:45","53842","56490"
"08.08.2019 21:45 - 08.08.2019 22:00","53346","55620"
"08.08.2019 22:00 - 08.08.2019 22:15","52806","54845"
"08.08.2019 22:15 - 08.08.2019 22:30","51672","53903"
"08.08.2019 22:30 - 08.08.2019 22:45","50628","52913"
"08.08.2019 22:45 - 08.08.2019 23:00","49612","51858"
"08.08.2019 23:00 - 08.08.2019 23:15","48444","50571"
"08.08.2019 23:15 - 08.08.2019 23:30","47670","49691"
"08.08.2019 23:30 - 08.08.2019 23:45","46930","48690"
"08.08.2019 23:45 - 09.08.2019 00:00","46310","48189"
"09.08.2019 00:00 - 09.08.2019 00:15","45246","47296"
"09.08.2019 00:15 - 09.08.2019 00:30","44677","46752"
"09.08.2019 00:30 - 09.08.2019 00:45","44212","46117"
"09.08.2019 00:45 - 09.08.2019 01:00","43799","45749"
"09.08.2019 01:00 - 09.08.2019 01:15","43773","44994"
"09.08.2019 01:15 - 09.08.2019 01:30","43133","44751"
"09.08.2019 01:30 - 09.08.2019 01:45","42543","44328"
"09.08.2019 01:45 - 09.08.2019 02:00","42716","44069"
"09.08.2019 02:00 - 09.08.2019 02:15","41748","43745"
"09.08.2019 02:15 - 09.08.2019 02:30","41744","43547"
"09.08.2019 02:30 - 09.08.2019 02:45","41599","43603"
"09.08.2019 02:45 - 09.08.2019 03:00","41608","43602"
"09.08.2019 03:00 - 09.08.2019 03:15","41566","43590"
"09.08.2019 03:15 - 09.08.2019 03:30","41716","43600"
"09.08.2019 03:30 - 09.08.2019 03:45","41687","43700"
"09.08.2019 03:45 - 09.08.2019 04:00","41782","43763"
"09.08.2019 04:00 - 09.08.2019 04:15","42162","44201"
"09.08.2019 04:15 - 09.08.2019 04:30","42483","44446"
"09.08.2019 04:30 - 09.08.2019 04:45","42681","44685"
"09.08.2019 04:45 - 09.08.2019 05:00","43381","45168"
"09.08.2019 05:00 - 09.08.2019 05:15","44502","46327"
"09.08.2019 05:15 - 09.08.2019 05:30","45148","47119"
"09.08.2019 05:30 - 09.08.2019 05:45","46106","48081"
"09.08.2019 05:45 - 09.08.2019 06:00","47146","48998"
"09.08.2019 06:00 - 09.08.2019 06:15","49293","51268"
"09.08.2019 06:15 - 09.08.2019 06:30","51101","52988"
"09.08.2019 06:30 - 09.08.2019 06:45","52644","54302"
"09.08.2019 06:45 - 09.08.2019 07:00","53911","55518"
"09.08.2019 07:00 - 09.08.2019 07:15","55633","57188"
"09.08.2019 07:15 - 09.08.2019 07:30","56825","58454"
"09.08.2019 07:30 - 09.08.2019 07:45","58294","59590"
"09.08.2019 07:45 - 09.08.2019 08:00","59399","60510"
"09.08.2019 08:00 - 09.08.2019 08:15","60416","61563"
"09.08.2019 08:15 - 09.08.2019 08:30","60985","62032"
"09.08.2019 08:30 - 09.08.2019 08:45","61500","62721"
"09.08.2019 08:45 - 09.08.2019 09:00","62061","63417"
"09.08.2019 09:00 - 09.08.2019 09:15","61992","63284"
"09.08.2019 09:15 - 09.08.2019 09:30","62386","63719"
"09.08.2019 09:30 - 09.08.2019 09:45","63231","64323"
"09.08.2019 09:45 - 09.08.2019 10:00","63679","64770"
"09.08.2019 10:00 - 09.08.2019 10:15","64057","65190"
"09.08.2019 10:15 - 09.08.2019 10:30","64590","65265"
"09.08.2019 10:30 - 09.08.2019 10:45","64856","65629"
"09.08.2019 10:45 - 09.08.2019 11:00","65356","65871"
"09.08.2019 11:00 - 09.08.2019 11:15","65684","66056"
"09.08.2019 11:15 - 09.08.2019 11:30","66182","66439"
"09.08.2019 11:30 - 09.08.2019 11:45","66167","67006"
"09.08.2019 11:45 - 09.08.2019 12:00","66292","67021"
"09.08.2019 12:00 - 09.08.2019 12:15","65969","66281"
"09.08.2019 12:15 - 09.08.2019 12:30","65617","66408"
"09.08.2019 12:30 - 09.08.2019 12:45","65172","66461"
"09.08.2019 12:45 - 09.08.2019 13:00","65022","66624"
"09.08.2019 13:00 - 09.08.2019 13:15","64500","66004"
"09.08.2019 13:15 - 09.08.2019 13:30","64071","65438"
"09.08.2019 13:30 - 09.08.2019 13:45","63541","65215"
"09.08.2019 13:45 - 09.08.2019 14:00","62993","64493"
"09.08.2019 14:00 - 09.08.2019 14:15","62361","64103"
"09.08.2019 14:15 - 09.08.2019 14:30","62338","63864"
"09.08.2019 14:30 - 09.08.2019 14:45","62075","63445"
"09.08.2019 14:45 - 09.08.2019 15:00","61991","63238"
"09.08.2019 15:00 - 09.08.2019 15:15","61684","62794"
"09.08.2019 15:15 - 09.08.2019 15:30","61328","62390"
"09.08.2019 15:30 - 09.08.2019 15:45","61082","61712"
"09.08.2019 15:45 - 09.08.2019 16:00","60631","61314"
"09.08.2019 16:00 - 09.08.2019 16:15","60492","61515"
"09.08.2019 16:15 - 09.08.2019 16:30","60171","61618"
"09.08.2019 16:30 - 09.08.2019 16:45","59980","61658"
"09.08.2019 16:45 - 09.08.2019 17:00","59758","61964"
"09.08.2019 17:00 - 09.08.2019 17:15","60024","62355"
"09.08.2019 17:15 - 09.08.2019 17:30","59830","62055"
"09.08.2019 17:30 - 09.08.2019 17:45","59610","61789"
"09.08.2019 17:45 - 09.08.2019 18:00","59303","61646"
"09.08.2019 18:00 - 09.08.2019 18:15","58982","61418"
"09.08.2019 18:15 - 09.08.2019 18:30","58600","60918"
"09.08.2019 18:30 - 09.08.2019 18:45","58477","60807"
"09.08.2019 18:45 - 09.08.2019 19:00","58290","60541"
"09.08.2019 19:00 - 09.08.2019 19:15","57931","60157"
