"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"03.01.2018 03:15 - 03.01.2018 03:30","51949","56529"
"03.01.2018 03:30 - 03.01.2018 03:45","51981","57006"
"03.01.2018 03:45 - 03.01.2018 04:00","52043","57288"
"03.01.2018 04:00 - 03.01.2018 04:15","52439","57658"
"03.01.2018 04:15 - 03.01.2018 04:30","52808","58344"
"03.01.2018 04:30 - 03.01.2018 04:45","53281","58852"
"03.01.2018 04:45 - 03.01.2018 05:00","53885","59518"
"03.01.2018 05:00 - 03.01.2018 05:15","55113","60835"
"03.01.2018 05:15 - 03.01.2018 05:30","55797","61949"
"03.01.2018 05:30 - 03.01.2018 05:45","56836","63061"
"03.01.2018 05:45 - 03.01.2018 06:00","58061","64542"
"03.01.2018 06:00 - 03.01.2018 06:15","60382","66501"
"03.01.2018 06:15 - 03.01.2018 06:30","62325","68846"
"03.01.2018 06:30 - 03.01.2018 06:45","64185","70659"
"03.01.2018 06:45 - 03.01.2018 07:00","65950","72209"
"03.01.2018 07:00 - 03.01.2018 07:15","67943","73781"
"03.01.2018 07:15 - 03.01.2018 07:30","69223","74980"
"03.01.2018 07:30 - 03.01.2018 07:45","71495","76566"
"03.01.2018 07:45 - 03.01.2018 08:00","72544","77841"
"03.01.2018 08:00 - 03.01.2018 08:15","73693","78702"
"03.01.2018 08:15 - 03.01.2018 08:30","74170","79534"
"03.01.2018 08:30 - 03.01.2018 08:45","74411","79926"
"03.01.2018 08:45 - 03.01.2018 09:00","74440","80563"
"03.01.2018 09:00 - 03.01.2018 09:15","74600","80480"
"03.01.2018 09:15 - 03.01.2018 09:30","74838","80989"
"03.01.2018 09:30 - 03.01.2018 09:45","75011","81299"
"03.01.2018 09:45 - 03.01.2018 10:00","75308","82081"
"03.01.2018 10:00 - 03.01.2018 10:15","75611","82276"
"03.01.2018 10:15 - 03.01.2018 10:30","75911","82659"
"03.01.2018 10:30 - 03.01.2018 10:45","76234","82886"
"03.01.2018 10:45 - 03.01.2018 11:00","76380","83314"
"03.01.2018 11:00 - 03.01.2018 11:15","76607","83694"
"03.01.2018 11:15 - 03.01.2018 11:30","76981","84060"
"03.01.2018 11:30 - 03.01.2018 11:45","77225","84486"
"03.01.2018 11:45 - 03.01.2018 12:00","76899","84366"
"03.01.2018 12:00 - 03.01.2018 12:15","76726","83781"
"03.01.2018 12:15 - 03.01.2018 12:30","76816","84025"
"03.01.2018 12:30 - 03.01.2018 12:45","76611","83857"
"03.01.2018 12:45 - 03.01.2018 13:00","76815","83502"
"03.01.2018 13:00 - 03.01.2018 13:15","76778","83535"
"03.01.2018 13:15 - 03.01.2018 13:30","76583","83242"
"03.01.2018 13:30 - 03.01.2018 13:45","76254","82763"
"03.01.2018 13:45 - 03.01.2018 14:00","75405","81908"
"03.01.2018 14:00 - 03.01.2018 14:15","75261","81731"
"03.01.2018 14:15 - 03.01.2018 14:30","74898","81299"
"03.01.2018 14:30 - 03.01.2018 14:45","75015","80878"
"03.01.2018 14:45 - 03.01.2018 15:00","75287","80679"
"03.01.2018 15:00 - 03.01.2018 15:15","75923","80526"
"03.01.2018 15:15 - 03.01.2018 15:30","74801","80573"
"03.01.2018 15:30 - 03.01.2018 15:45","74627","80230"
"03.01.2018 15:45 - 03.01.2018 16:00","74589","80392"
"03.01.2018 16:00 - 03.01.2018 16:15","75065","81225"
"03.01.2018 16:15 - 03.01.2018 16:30","75884","81411"
"03.01.2018 16:30 - 03.01.2018 16:45","76874","82109"
"03.01.2018 16:45 - 03.01.2018 17:00","76615","83681"
"03.01.2018 17:00 - 03.01.2018 17:15","77462","84679"
"03.01.2018 17:15 - 03.01.2018 17:30","77617","84989"
"03.01.2018 17:30 - 03.01.2018 17:45","78068","85511"
"03.01.2018 17:45 - 03.01.2018 18:00","77904","85552"
"03.01.2018 18:00 - 03.01.2018 18:15","77617","85081"
"03.01.2018 18:15 - 03.01.2018 18:30","77698","84665"
"03.01.2018 18:30 - 03.01.2018 18:45","77361","84351"
"03.01.2018 18:45 - 03.01.2018 19:00","77238","83954"
"03.01.2018 19:00 - 03.01.2018 19:15","76658","83641"
"03.01.2018 19:15 - 03.01.2018 19:30","75897","82201"
"03.01.2018 19:30 - 03.01.2018 19:45","75112","81361"
"03.01.2018 19:45 - 03.01.2018 20:00","74492","80634"
"03.01.2018 20:00 - 03.01.2018 20:15","72970","79755"
"03.01.2018 20:15 - 03.01.2018 20:30","71001","78255"
"03.01.2018 20:30 - 03.01.2018 20:45","70313","76951"
"03.01.2018 20:45 - 03.01.2018 21:00","69393","75586"
"03.01.2018 21:00 - 03.01.2018 21:15","68288","74798"
"03.01.2018 21:15 - 03.01.2018 21:30","67537","74032"
"03.01.2018 21:30 - 03.01.2018 21:45","67229","72911"
"03.01.2018 21:45 - 03.01.2018 22:00","66134","72160"
"03.01.2018 22:00 - 03.01.2018 22:15","66375","72382"
"03.01.2018 22:15 - 03.01.2018 22:30","65729","71529"
"03.01.2018 22:30 - 03.01.2018 22:45","64384","70531"
"03.01.2018 22:45 - 03.01.2018 23:00","63051","68890"
"03.01.2018 23:00 - 03.01.2018 23:15","61768","68008"
"03.01.2018 23:15 - 03.01.2018 23:30","60552","66593"
"03.01.2018 23:30 - 03.01.2018 23:45","59446","65484"
"03.01.2018 23:45 - 04.01.2018 00:00","58456","64489"
"04.01.2018 00:00 - 04.01.2018 00:15","57248","63066"
"04.01.2018 00:15 - 04.01.2018 00:30","56533","62126"
"04.01.2018 00:30 - 04.01.2018 00:45","55795","61603"
"04.01.2018 00:45 - 04.01.2018 01:00","54973","60968"
"04.01.2018 01:00 - 04.01.2018 01:15","54205","60132"
"04.01.2018 01:15 - 04.01.2018 01:30","53788","59601"
"04.01.2018 01:30 - 04.01.2018 01:45","53412","59107"
"04.01.2018 01:45 - 04.01.2018 02:00","53185","58451"
"04.01.2018 02:00 - 04.01.2018 02:15","52806","58323"
"04.01.2018 02:15 - 04.01.2018 02:30","52612","57917"
"04.01.2018 02:30 - 04.01.2018 02:45","52686","57919"
"04.01.2018 02:45 - 04.01.2018 03:00","52624","57674"
"04.01.2018 03:00 - 04.01.2018 03:15","52593","57659"
"04.01.2018 03:15 - 04.01.2018 03:30","52639","57866"
"04.01.2018 03:30 - 04.01.2018 03:45","52708","58114"
"04.01.2018 03:45 - 04.01.2018 04:00","52752","58526"
"04.01.2018 04:00 - 04.01.2018 04:15","53198","58805"
"04.01.2018 04:15 - 04.01.2018 04:30","53570","58960"
"04.01.2018 04:30 - 04.01.2018 04:45","54047","59359"
"04.01.2018 04:45 - 04.01.2018 05:00","54654","59833"
"04.01.2018 05:00 - 04.01.2018 05:15","56063","60900"
"04.01.2018 05:15 - 04.01.2018 05:30","56711","61357"
"04.01.2018 05:30 - 04.01.2018 05:45","57864","62818"
"04.01.2018 05:45 - 04.01.2018 06:00","59186","64222"
"04.01.2018 06:00 - 04.01.2018 06:15","61721","66162"
